date,pm25,pm10,o3,no2,so2,co,AQI
2017-01-01,145,28.0,39,30.0,1.0,27.0,145
2017-01-02,59,10.0,42,36.0,1.0,13.0,59
2017-01-03,66,17.0,32,55.0,3.0,17.0,66
2017-01-04,72,20.0,32,48.0,4.0,20.0,72
2017-01-05,43,10.0,31,36.0,1.0,13.0,43
2017-01-06,49,31.0,39,42.0,6.0,14.0,49
2017-01-07,70,26.0,31,43.0,1.0,27.0,70
2017-01-08,82,15.0,34,43.0,3.0,39.0,82
2017-01-09,55,11.0,31,40.0,1.0,17.0,55
2017-01-10,56,13.0,34,42.0,1.0,15.0,56
2017-01-11,53,13.0,41,40.0,1.0,14.0,53
2017-01-12,48,7.0,37,38.0,3.0,13.0,48
2017-01-13,60,21.0,35,56.0,4.0,20.0,60
2017-01-14,72,18.0,38,40.0,14.0,20.0,72
2017-01-15,67,16.0,40,30.0,1.0,17.0,67
2017-01-16,72,25.0,40,48.0,1.0,13.0,72
2017-01-17,67,31.0,38,58.0,4.0,23.0,67
2017-01-18,69,26.0,40,47.0,3.0,18.0,69
2017-01-19,53,26.0,46,49.0,0.0,7.0,53
2017-01-20,38,7.0,45,38.0,1.0,8.0,45
2017-01-21,44,14.0,43,39.0,1.0,9.0,44
2017-01-22,51,6.0,43,28.0,1.0,8.0,51
2017-01-23,47,7.0,46,55.0,1.0,10.0,55
2017-01-24,62,17.0,40,54.0,1.0,14.0,62
2017-01-25,64,24.0,39,61.0,3.0,18.0,64
2017-01-26,69,19.0,42,62.0,1.0,22.0,69
2017-01-27,65,22.0,44,60.0,1.0,22.0,65
2017-01-28,75,19.0,46,51.0,4.0,32.0,75
2017-01-29,66,11.0,45,52.0,3.0,40.0,66
2017-01-30,57,20.0,43,77.0,7.0,30.0,77
2017-01-31,75,41.0,42,73.0,9.0,30.0,75
2017-02-01,71,26.0,46,54.0,6.0,23.0,71
2017-02-02,74,26.0,44,46.0,7.0,14.0,74
2017-02-03,64,18.0,31,42.0,0.0,11.0,64
2017-02-04,53,12.0,39,30.0,1.0,10.0,53
2017-02-05,66,21.0,35,20.0,1.0,9.0,66
2017-02-06,45,6.0,32,29.0,0.0,10.0,45
2017-02-07,41,10.0,29,31.0,0.0,9.0,41
2017-02-08,49,10.0,27,34.0,9.0,11.0,49
2017-02-09,54,22.0,31,40.0,3.0,14.0,54
2017-02-10,57,24.0,32,33.0,1.0,11.0,57
2017-02-11,49,13.0,40,30.0,0.0,11.0,49
2017-02-12,55,24.0,41,36.0,4.0,18.0,55
2017-02-13,58,16.0,39,45.0,7.0,22.0,58
2017-02-14,59,23.0,39,43.0,3.0,13.0,59
2017-02-15,70,30.0,44,54.0,3.0,17.0,70
2017-02-16,61,35.0,43,56.0,1.0,16.0,61
2017-02-17,35,13.0,49,30.0,3.0,8.0,49
2017-02-18,27,11.0,50,25.0,0.0,9.0,50
2017-02-19,46,13.0,44,25.0,1.0,10.0,46
2017-02-20,51,14.0,43,35.0,0.0,10.0,51
2017-02-21,56,19.0,33,48.0,1.0,14.0,56
2017-02-22,36,15.0,44,48.0,6.0,10.0,48
2017-02-23,32,12.0,46,50.0,3.0,10.0,50
2017-02-24,52,30.0,46,63.0,3.0,11.0,63
2017-02-25,60,19.0,49,38.0,3.0,18.0,60
2017-02-26,44,8.0,48,34.0,1.0,10.0,48
2017-02-27,36,11.0,41,48.0,1.0,11.0,48
2017-02-28,53,15.0,48,57.0,3.0,11.0,57
2017-03-01,58,20.0,46,60.0,6.0,18.0,60
2017-03-02,54,43.0,45,66.0,3.0,16.0,66
2017-03-03,47,19.0,49,56.0,9.0,18.0,56
2017-03-04,61,17.0,58,42.0,3.0,17.0,61
2017-03-05,43,16.0,46,25.0,1.0,10.0,46
2017-03-06,35,17.0,44,48.0,3.0,10.0,48
2017-03-07,52,33.0,44,52.0,7.0,13.0,52
2017-03-08,59,35.0,47,62.0,3.0,19.0,62
2017-03-09,66,31.0,77,71.0,14.0,18.0,77
2017-03-10,71,35.0,101,89.0,4.0,19.0,101
2017-03-11,71,29.0,112,45.0,4.0,18.0,112
2017-03-12,104,33.0,115,42.0,9.0,14.0,115
2017-03-13,125,40.0,133,69.0,10.0,16.0,133
2017-03-14,102,49.0,97,76.0,11.0,18.0,102
2017-03-15,82,34.0,84,71.0,11.0,14.0,84
2017-03-16,72,35.0,48,44.0,10.0,14.0,72
2017-03-17,89,36.0,64,57.0,20.0,15.0,89
2017-03-18,101,34.0,74,31.0,6.0,11.0,101
2017-03-19,79,26.0,64,25.0,3.0,11.0,79
2017-03-20,62,30.0,41,34.0,3.0,10.0,62
2017-03-21,54,17.0,34,29.0,1.0,11.0,54
2017-03-22,54,12.0,43,32.0,1.0,11.0,54
2017-03-23,37,18.0,47,40.0,1.0,13.0,47
2017-03-24,56,21.0,49,35.0,6.0,13.0,56
2017-03-25,45,19.0,44,28.0,1.0,11.0,45
2017-03-26,56,17.0,49,25.0,1.0,11.0,56
2017-03-27,48,27.0,47,36.0,3.0,11.0,48
2017-03-28,52,31.0,58,46.0,10.0,13.0,58
2017-03-29,55,32.0,64,58.0,9.0,15.0,64
2017-03-30,56,42.0,51,36.0,1.0,14.0,56
2017-03-31,55,21.0,51,38.0,1.0,10.0,55
2017-04-01,58,30.0,61,37.0,4.0,13.0,61
2017-04-02,59,26.0,61,33.0,4.0,13.0,61
2017-04-03,75,29.0,48,28.0,1.0,11.0,75
2017-04-04,77,31.0,71,44.0,6.0,14.0,77
2017-04-05,68,33.0,100,50.0,7.0,15.0,100
2017-04-06,69,34.0,58,42.0,7.0,9.0,69
2017-04-07,61,25.0,77,31.0,3.0,7.0,77
2017-04-08,45,15.0,50,20.0,1.0,7.0,50
2017-04-09,47,19.0,67,37.0,4.0,7.0,67
2017-04-10,54,27.0,97,56.0,4.0,11.0,97
2017-04-11,60,28.0,87,48.0,4.0,10.0,87
2017-04-12,55,26.0,47,31.0,3.0,8.0,55
2017-04-13,44,30.0,44,34.0,6.0,8.0,44
2017-04-14,42,24.0,58,37.0,1.0,8.0,58
2017-04-15,53,26.0,112,37.0,9.0,11.0,112
2017-04-16,54,22.0,108,34.0,7.0,9.0,108
2017-04-17,38,19.0,41,41.0,7.0,8.0,41
2017-04-18,31,18.0,31,34.0,3.0,8.0,34
2017-04-19,45,26.0,49,35.0,3.0,8.0,49
2017-04-20,53,29.0,71,40.0,3.0,9.0,71
2017-04-21,60,35.0,140,62.0,11.0,11.0,140
2017-04-22,61,33.0,161,45.0,6.0,10.0,161
2017-04-23,58,30.0,84,26.0,3.0,10.0,84
2017-04-24,57,37.0,51,33.0,1.0,8.0,57
2017-04-25,52,57.0,71,34.0,3.0,8.0,71
2017-04-26,53,34.0,67,35.0,3.0,8.0,67
2017-04-27,53,30.0,74,32.0,3.0,8.0,74
2017-04-28,48,44.0,84,38.0,4.0,8.0,84
2017-04-29,41,58.0,100,48.0,3.0,7.0,100
2017-04-30,56,29.0,112,40.0,3.0,11.0,112
2017-05-01,61,43.0,140,44.0,6.0,10.0,140
2017-05-02,63,36.0,147,47.0,6.0,10.0,147
2017-05-03,67,41.0,156,37.0,4.0,9.0,156
2017-05-04,65,43.0,126,40.0,6.0,9.0,126
2017-05-05,80,41.0,58,40.0,1.0,9.0,80
2017-05-06,52,18.0,46,17.0,1.0,8.0,52
2017-05-07,56,18.0,45,28.0,0.0,9.0,56
2017-05-08,57,22.0,50,42.0,3.0,11.0,57
2017-05-09,64,33.0,47,29.0,1.0,9.0,64
2017-05-10,56,20.0,44,31.0,1.0,9.0,56
2017-05-11,57,31.0,61,40.0,0.0,9.0,61
2017-05-12,70,33.0,50,31.0,3.0,9.0,70
2017-05-13,55,31.0,67,28.0,3.0,9.0,67
2017-05-14,61,24.0,67,27.0,1.0,9.0,67
2017-05-15,52,23.0,49,32.0,1.0,8.0,52
2017-05-16,54,25.0,45,36.0,3.0,6.0,54
2017-05-17,59,35.0,48,42.0,1.0,9.0,59
2017-05-18,57,34.0,50,61.0,4.0,8.0,61
2017-05-19,62,46.0,84,47.0,3.0,13.0,84
2017-05-20,61,35.0,129,42.0,11.0,11.0,129
2017-05-21,60,28.0,143,41.0,3.0,11.0,143
2017-05-22,69,43.0,154,36.0,6.0,10.0,154
2017-05-23,65,44.0,112,43.0,7.0,10.0,112
2017-05-24,68,39.0,119,30.0,6.0,9.0,119
2017-05-25,54,22.0,48,32.0,3.0,9.0,54
2017-05-26,43,16.0,45,30.0,1.0,9.0,45
2017-05-27,49,19.0,64,29.0,1.0,9.0,64
2017-05-28,80,25.0,108,26.0,1.0,9.0,108
2017-05-29,65,32.0,97,36.0,0.0,9.0,97
2017-05-30,78,41.0,93,33.0,1.0,9.0,93
2017-05-31,80,43.0,67,31.0,1.0,10.0,80
2017-06-01,68,32.0,93,39.0,1.0,10.0,93
2017-06-02,75,44.0,136,38.0,6.0,10.0,136
2017-06-03,87,43.0,169,25.0,1.0,10.0,169
2017-06-04,93,36.0,150,21.0,13.0,9.0,150
2017-06-05,77,42.0,101,26.0,1.0,10.0,101
2017-06-06,80,37.0,77,28.0,0.0,10.0,80
2017-06-07,68,33.0,101,33.0,3.0,10.0,101
2017-06-08,56,31.0,77,47.0,3.0,10.0,77
2017-06-09,48,30.0,50,29.0,4.0,10.0,50
2017-06-10,47,18.0,40,18.0,1.0,9.0,47
2017-06-11,48,22.0,42,17.0,1.0,9.0,48
2017-06-12,43,39.0,44,31.0,1.0,10.0,44
2017-06-13,56,33.0,93,47.0,6.0,11.0,93
2017-06-14,63,40.0,159,42.0,4.0,11.0,159
2017-06-15,68,39.0,143,42.0,3.0,13.0,143
2017-06-16,66,38.0,195,40.0,7.0,13.0,195
2017-06-17,66,34.0,190,34.0,3.0,11.0,190
2017-06-18,68,31.0,164,33.0,3.0,11.0,164
2017-06-19,64,44.0,172,40.0,7.0,11.0,172
2017-06-20,76,45.0,197,49.0,9.0,13.0,197
2017-06-21,65,52.0,164,49.0,20.0,13.0,164
2017-06-22,70,46.0,115,24.0,3.0,10.0,115
2017-06-23,71,46.0,156,27.0,6.0,6.0,156
2017-06-24,68,43.0,151,22.0,4.0,13.0,151
2017-06-25,65,40.0,195,34.0,3.0,13.0,195
2017-06-26,64,37.0,129,53.0,6.0,14.0,129
2017-06-27,55,30.0,115,41.0,7.0,13.0,115
2017-06-28,63,38.0,115,26.0,3.0,10.0,115
2017-06-29,105,51.0,150,32.0,4.0,9.0,150
2017-06-30,76,50.0,151,26.0,3.0,8.0,151
2017-07-01,79,49.0,143,24.0,1.0,8.0,143
2017-07-02,64,36.0,115,18.0,1.0,8.0,115
2017-07-03,71,40.0,159,37.0,7.0,9.0,159
2017-07-04,149,51.0,169,31.0,7.0,9.0,169
2017-07-05,179,93.0,182,35.0,4.0,9.0,182
2017-07-06,70,53.0,204,38.0,4.0,9.0,204
2017-07-07,77,57.0,224,51.0,3.0,11.0,224
2017-07-08,82,51.0,209,42.0,3.0,10.0,209
2017-07-09,71,51.0,101,18.0,3.0,10.0,101
2017-07-10,70,47.0,112,30.0,6.0,10.0,112
2017-07-11,54,34.0,71,28.0,3.0,9.0,71
2017-07-12,56,43.0,84,30.0,3.0,9.0,84
2017-07-13,63,38.0,97,29.0,7.0,9.0,97
2017-07-14,65,45.0,156,36.0,6.0,11.0,156
2017-07-15,76,45.0,203,30.0,3.0,10.0,203
2017-07-16,83,45.0,159,19.0,1.0,10.0,159
2017-07-17,72,47.0,101,24.0,1.0,10.0,101
2017-07-18,69,47.0,154,31.0,4.0,10.0,154
2017-07-19,73,47.0,164,36.0,7.0,10.0,164
2017-07-20,75,45.0,136,30.0,6.0,10.0,136
2017-07-21,79,45.0,154,25.0,3.0,10.0,154
2017-07-22,80,50.0,177,24.0,3.0,10.0,177
2017-07-23,77,45.0,164,21.0,4.0,10.0,164
2017-07-24,68,38.0,61,28.0,6.0,10.0,68
2017-07-25,66,40.0,84,31.0,1.0,10.0,84
2017-07-26,61,35.0,100,31.0,4.0,10.0,100
2017-07-27,63,38.0,105,32.0,3.0,11.0,105
2017-07-28,74,39.0,126,25.0,4.0,10.0,126
2017-07-29,74,42.0,133,21.0,6.0,10.0,133
2017-07-30,81,37.0,122,16.0,1.0,10.0,122
2017-07-31,76,47.0,164,36.0,4.0,10.0,164
2017-08-01,79,52.0,140,37.0,3.0,6.0,140
2017-08-02,77,56.0,122,40.0,4.0,11.0,122
2017-08-03,77,44.0,161,43.0,3.0,14.0,161
2017-08-04,66,38.0,126,33.0,3.0,11.0,126
2017-08-05,67,29.0,115,21.0,1.0,10.0,115
2017-08-06,74,30.0,119,24.0,9.0,10.0,119
2017-08-07,66,44.0,108,35.0,10.0,11.0,108
2017-08-08,71,44.0,122,35.0,7.0,11.0,122
2017-08-09,72,46.0,119,36.0,1.0,11.0,119
2017-08-10,72,49.0,143,39.0,4.0,11.0,143
2017-08-11,72,52.0,140,42.0,6.0,13.0,140
2017-08-12,77,49.0,156,26.0,1.0,13.0,156
2017-08-13,87,43.0,150,18.0,3.0,11.0,150
2017-08-14,73,44.0,97,28.0,1.0,11.0,97
2017-08-15,58,23.0,50,18.0,1.0,10.0,58
2017-08-16,64,32.0,90,26.0,1.0,10.0,90
2017-08-17,63,44.0,93,38.0,1.0,10.0,93
2017-08-18,68,45.0,112,29.0,4.0,9.0,112
2017-08-19,66,43.0,105,25.0,4.0,9.0,105
2017-08-20,84,37.0,80,14.0,4.0,9.0,84
2017-08-21,85,37.0,74,28.0,3.0,9.0,85
2017-08-22,64,40.0,97,34.0,3.0,9.0,97
2017-08-23,70,48.0,126,36.0,1.0,5.0,126
2017-08-24,84,52.0,115,34.0,3.0,10.0,115
2017-08-25,95,53.0,154,36.0,1.0,11.0,154
2017-08-26,85,50.0,190,29.0,4.0,11.0,190
2017-08-27,68,37.0,164,33.0,4.0,11.0,164
2017-08-28,76,51.0,201,42.0,4.0,11.0,201
2017-08-29,89,65.0,208,46.0,4.0,14.0,208
2017-08-30,78,55.0,209,66.0,10.0,13.0,209
2017-08-31,72,50.0,174,56.0,10.0,13.0,174
2017-09-01,71,52.0,206,56.0,14.0,9.0,206
2017-09-02,77,44.0,156,47.0,6.0,14.0,156
2017-09-03,69,51.0,77,41.0,1.0,14.0,77
2017-09-04,64,29.0,51,18.0,1.0,11.0,64
2017-09-05,69,37.0,67,33.0,1.0,11.0,69
2017-09-06,65,40.0,61,34.0,1.0,14.0,65
2017-09-07,75,42.0,112,43.0,4.0,11.0,112
2017-09-08,77,41.0,80,35.0,3.0,11.0,80
2017-09-09,75,40.0,101,25.0,6.0,13.0,101
2017-09-10,66,31.0,177,31.0,14.0,14.0,177
2017-09-11,66,44.0,119,43.0,4.0,13.0,119
2017-09-12,63,41.0,84,41.0,0.0,11.0,84
2017-09-13,63,31.0,49,33.0,0.0,10.0,63
2017-09-14,58,20.0,43,32.0,3.0,11.0,58
2017-09-15,57,24.0,50,29.0,4.0,11.0,57
2017-09-16,67,31.0,80,25.0,3.0,11.0,80
2017-09-17,66,31.0,93,23.0,0.0,13.0,93
2017-09-18,68,40.0,101,46.0,1.0,13.0,101
2017-09-19,72,39.0,58,32.0,3.0,11.0,72
2017-09-20,67,33.0,67,42.0,1.0,11.0,67
2017-09-21,59,24.0,38,29.0,0.0,10.0,59
2017-09-22,58,29.0,46,33.0,1.0,11.0,58
2017-09-23,56,27.0,64,29.0,3.0,13.0,64
2017-09-24,53,18.0,84,41.0,3.0,13.0,84
2017-09-25,54,21.0,64,62.0,7.0,17.0,64
2017-09-26,84,39.0,93,49.0,4.0,22.0,93
2017-09-27,74,24.0,84,55.0,11.0,15.0,84
2017-09-28,72,50.0,93,63.0,10.0,15.0,93
2017-09-29,66,40.0,119,57.0,21.0,16.0,119
2017-09-30,92,39.0,147,46.0,1.0,15.0,147
2017-10-01,78,46.0,90,17.0,1.0,11.0,90
2017-10-02,68,54.0,71,42.0,1.0,13.0,71
2017-10-03,68,36.0,50,39.0,0.0,11.0,68
2017-10-04,62,44.0,71,46.0,1.0,13.0,71
2017-10-05,65,45.0,112,54.0,4.0,16.0,112
2017-10-06,68,36.0,129,79.0,6.0,18.0,129
2017-10-07,68,44.0,136,53.0,3.0,22.0,136
2017-10-08,71,34.0,119,42.0,1.0,14.0,119
2017-10-09,67,56.0,49,51.0,3.0,9.0,67
2017-10-10,69,48.0,58,55.0,7.0,13.0,69
2017-10-11,68,53.0,74,47.0,0.0,13.0,74
2017-10-12,82,60.0,87,42.0,1.0,9.0,87
2017-10-13,88,53.0,97,42.0,3.0,11.0,97
2017-10-14,95,48.0,136,48.0,7.0,14.0,136
2017-10-15,72,33.0,100,61.0,4.0,19.0,100
2017-10-16,67,45.0,84,87.0,4.0,22.0,87
2017-10-17,67,44.0,108,88.0,11.0,23.0,108
2017-10-18,80,48.0,119,54.0,4.0,14.0,119
2017-10-19,94,56.0,87,48.0,9.0,9.0,94
2017-10-20,64,44.0,43,29.0,1.0,8.0,64
2017-10-21,55,29.0,54,46.0,3.0,13.0,55
2017-10-22,54,30.0,67,46.0,3.0,20.0,67
2017-10-23,55,31.0,61,73.0,9.0,19.0,73
2017-10-24,67,43.0,48,104.0,7.0,33.0,104
2017-10-25,53,37.0,54,71.0,4.0,22.0,71
2017-10-26,64,36.0,74,76.0,11.0,20.0,76
2017-10-27,71,39.0,97,74.0,10.0,24.0,97
2017-10-28,94,52.0,90,42.0,7.0,15.0,94
2017-10-29,118,52.0,105,25.0,1.0,10.0,118
2017-10-30,64,32.0,44,35.0,1.0,8.0,64
2017-10-31,63,17.0,43,33.0,1.0,9.0,63
2017-11-01,59,22.0,43,34.0,1.0,8.0,59
2017-11-02,50,19.0,38,45.0,1.0,9.0,50
2017-11-03,54,16.0,41,37.0,1.0,9.0,54
2017-11-04,51,23.0,38,35.0,3.0,10.0,51
2017-11-05,43,19.0,36,25.0,1.0,11.0,43
2017-11-06,48,24.0,41,34.0,4.0,10.0,48
2017-11-07,50,20.0,42,48.0,7.0,11.0,50
2017-11-08,47,20.0,32,48.0,6.0,14.0,48
2017-11-09,45,16.0,35,33.0,0.0,9.0,45
2017-11-10,57,22.0,38,32.0,3.0,9.0,57
2017-11-11,66,31.0,45,34.0,10.0,17.0,66
2017-11-12,92,38.0,41,41.0,7.0,16.0,92
2017-11-13,88,45.0,46,70.0,4.0,22.0,88
2017-11-14,95,51.0,47,72.0,7.0,20.0,95
2017-11-15,91,55.0,38,80.0,10.0,23.0,91
2017-11-16,87,46.0,33,88.0,10.0,28.0,88
2017-11-17,47,22.0,31,36.0,3.0,13.0,47
2017-11-18,59,24.0,43,40.0,1.0,15.0,59
2017-11-19,67,31.0,44,45.0,4.0,17.0,67
2017-11-20,74,40.0,43,60.0,7.0,20.0,74
2017-11-21,75,58.0,38,79.0,7.0,27.0,79
2017-11-22,67,40.0,39,85.0,16.0,30.0,85
2017-11-23,54,23.0,44,50.0,6.0,23.0,54
2017-11-24,74,35.0,58,60.0,27.0,26.0,74
2017-11-25,81,40.0,71,51.0,6.0,25.0,81
2017-11-26,126,43.0,71,38.0,6.0,19.0,126
2017-11-27,71,35.0,42,42.0,1.0,14.0,71
2017-11-28,57,33.0,38,57.0,1.0,15.0,57
2017-11-29,68,33.0,39,53.0,4.0,16.0,68
2017-11-30,79,43.0,43,70.0,4.0,27.0,79
2017-12-01,78,42.0,38,60.0,6.0,18.0,78
2017-12-02,80,38.0,37,60.0,3.0,30.0,80
2017-12-03,77,31.0,41,37.0,3.0,23.0,77
2017-12-04,59,87.0,43,52.0,0.0,14.0,87
2017-12-05,70,79.0,44,68.0,3.0,11.0,79
2017-12-06,107,19.0,40,96.0,9.0,26.0,107
2017-12-07,84,34.0,41,91.0,10.0,18.0,91
2017-12-08,101,32.0,36,68.0,3.0,28.0,101
2017-12-09,70,47.0,40,54.0,3.0,35.0,70
2017-12-10,62,22.0,39,50.0,3.0,28.0,62
2017-12-11,67,34.0,34,66.0,3.0,33.0,67
2017-12-12,89,38.0,35,86.0,3.0,34.0,89
2017-12-13,88,47.0,34,77.0,4.0,40.0,88
2017-12-14,107,55.0,43,76.0,11.0,31.0,107
2017-12-15,100,60.0,47,69.0,9.0,33.0,100
2017-12-16,90,64.0,44,52.0,1.0,33.0,90
2017-12-17,89,35.0,40,42.0,1.0,31.0,89
2017-12-18,56,33.0,37,53.0,7.0,19.0,56
2017-12-19,75,43.0,34,57.0,4.0,26.0,75
2017-12-20,72,50.0,41,46.0,3.0,16.0,72
2017-12-21,47,54.0,43,62.0,3.0,16.0,62
2017-12-22,70,44.0,33,68.0,6.0,19.0,70
2017-12-23,84,39.0,33,48.0,3.0,38.0,84
2017-12-24,157,48.0,34,52.0,9.0,31.0,157
2017-12-25,169,56.0,41,57.0,6.0,52.0,169
2017-12-26,155,64.0,39,70.0,4.0,25.0,155
2017-12-27,154,71.0,38,87.0,6.0,35.0,154
