date, pm25, pm10, o3, no2, so2, co, psi
2015/1/14, 38, 22, 16, 6, 4, 3, 44
2015/1/15, 40, 23, 20, 3, 4, 4, 48
2015/1/16, 44, 24, 22, 3, 2, 4, 52
2015/1/17, 42, 24, 21, 3, 3, 3, 46
2015/1/18, 47, 30, 21, 2, 4, 3, 53
2015/1/19, 54, 33, 20, 2, 5, 3, 56
2015/1/20, 61, 36, 17, 2, 10, 4, 58
2015/1/21, 60, 34, 26, 6, 15, 4, 64
2015/1/22, 80, 35, 22, 10, 10, 3, 54
2015/1/23, 54, 31, 23, 8, 9, 3, 58
2015/1/24, 54, 42, 33, 7, 8, 4, 72
2015/1/25, 97, 43, 25, 9, 3, 3, 63
2015/1/26, 80, 37, 19, 10, 4, 3, 56
2015/1/27, 61, 28, 13, 16, 5, 3, 51
2015/1/28, 46, 24, 8, 15, 10, 4, 41
2015/1/29, 42, 20, 13, 13, 11, 3, 37
2015/1/30, 36, 21, 14, 12, 12, 3, 41
2015/1/31, 30, 21, 11, 10, 15, , 40
2015/2/1, 35, 25, 9, 12, 13, 3, 50
2015/2/2, 45, 28, 12, 9, 9, 3, 48
2015/2/3, 38, 19, 11, 10, 6, 3, 34
2015/2/4, 37, 24, 15, 9, 3, 3, 46
2015/2/5, 42, 23, 11, 11, 4, 3, 41
2015/2/6, 41, 26, 19, 9, 2, , 49
2015/2/7, 47, 32, 20, 6, 2, 4, 55
2015/2/8, 55, 30, 17, 6, 3, 4, 54
2015/2/9, 52, , , , , , 53
2015/2/10, 50, , , , , , 60
2015/2/11, 62, , , , , , 61
2015/2/12, 62, , , , , , 63
2015/2/13, 67, , , , , , 60
2015/2/14, 68, 43, 23, 4, 4, 4, 60
2015/2/15, 73, 32, 23, 4, 5, , 57
2015/2/16, 68, 30, 15, 5, 5, , 52
2015/2/17, 53, 24, 14, 4, 7, 3, 45
2015/2/18, 42, 17, 15, 4, 5, 3, 31
2015/2/19, 22, 15, 18, 3, 2, 3, 39
2015/2/20, 33, 20, 19, 4, 2, 3, 47
2015/2/21, 41, 19, 19, 4, 2, 3, 39
2015/2/22, 33, 20, 18, 7, 3, 3, 44
2015/2/23, 40, 23, 14, 8, 3, 3, 49
2015/2/24, 54, 22, 15, 11, 3, 3, 49
2015/2/25, 43, 24, 19, 7, 5, 3, 50
2015/2/26, 47, 23, 22, 4, 4, 3, 51
2015/2/27, 51, 21, 19, 3, 4, 3, 44
2015/2/28, 41, 18, 17, 4, 3, 3, 39
2015/3/1, 30, 20, 15, 6, 4, 3, 46
2015/3/2, 40, 26, 16, 6, 7, 3, 54
2015/3/3, 51, 30, 15, 7, 10, 4, 54
2015/3/4, 50, 30, 22, 5, 13, 4, 57
2015/3/5, 57, 31, 21, 7, 6, 3, 61
2015/3/6, 66, 31, 18, 4, 8, 2, 48
2015/3/7, 47, 20, 20, 4, 7, 3, 44
2015/3/8, 37, 19, 10, 4, 4, 3, 42
2015/3/9, 39, 21, 11, 4, 5, 3, 45
2015/3/10, 43, 21, 7, 4, 4, 3, 40
2015/3/11, 34, 21, 15, 4, 4, 3, 49
2015/3/12, 49, 24, 21, 6, 6, 3, 46
2015/3/13, 48, 24, 21, 9, 9, 3, 44
2015/3/14, 35, 20, 17, 6, 12, 3, 38
2015/3/15, 34, 22, 19, 9, 8, 3, 53
2015/3/16, 52, 27, 15, 5, 3, 4, 57
2015/3/17, 57, 28, 22, 4, 4, 4, 58
2015/3/18, 54, 28, 24, 5, 6, 4, 59
2015/3/19, 59, 36, 35, 4, 5, 5, 78
2015/3/20, 100, 42, 30, 8, 8, 4, 71
2015/3/21, 81, 38, 29, 12, 5, 5, 63
2015/3/22, 73, 32, 20, 19, 3, 5, 65
2015/3/23, 73, 30, 22, 2, 2, 4, 58
2015/3/24, 57, 24, 19, 5, 4, 3, 50
2015/3/25, 44, 22, 15, 5, 5, 3, 51
2015/3/26, 45, 25, 13, 5, 5, 2, 50
2015/3/27, 50, 26, 11, 3, 7, 3, 52
2015/3/28, 61, 26, 9, 4, 6, 3, 49
2015/3/29, 59, 26, 11, 4, 7, 3, 51
2015/3/30, 53, 33, 10, 3, 5, 3, 54
2015/3/31, 54, 24, 13, 5, 4, 5, 54
2014/10/1, 98, 39, 26, 12, 5, 4, 74
2014/10/2, 91, 41, 26, 13, 6, 4, 73
2014/10/3, 95, 39, 17, 15, 6, 4, 64
2014/10/4, 83, 24, 15, 9, 8, 3, 33
2014/10/5, 60, 29, 26, 14, 9, 6, 94
2014/10/6, 110, 60, 22, 11, 7, , 86
2014/10/7, 108, 45, 18, 13, 5, 5, 82
2014/10/8, 119, 44, 23, 12, 5, 4, 65
2014/10/9, 76, 32, 25, 11, 6, 4, 59
2014/10/10, 65, 42, 25, 16, 6, 5, 87
2014/10/11, 123, 56, 27, 21, 6, 7, 89
2014/10/12, 131, 43, 29, 21, 7, 6, 69
2014/10/13, 96, 37, 24, 20, 8, 5, 67
2014/10/14, 80, 39, 28, 21, 5, 6, 74
2014/10/15, 99, 33, 17, 15, 4, 3, 61
2014/10/16, 65, 30, 10, 16, 2, 4, 62
2014/10/17, 76, 34, 13, 20, 4, 6, 72
2014/10/18, 96, 49, 27, 19, 5, 7, 92
2014/10/19, 130, 49, 19, 16, 6, 6, 81
2014/10/20, 102, 41, 12, 20, 5, 5, 71
2014/10/21, 89, 33, 9, 21, 5, 5, 63
2014/10/22, 69, 36, 15, 26, 15, 6, 75
2014/10/23, 96, 41, 32, 20, 13, 4, 74
2014/10/24, 97, 38, 26, 16, 7, 4, 69
2014/10/25, 82, 30, 17, 10, 4, 2, 59
2014/10/26, 61, 22, 10, 15, 3, 4, 56
2014/10/27, 55, 28, 13, 19, 5, 5, 68
2014/10/28, 82, 36, 24, 17, 6, 5, 69
2014/10/29, 80, 34, 17, 22, 5, 4, 68
2014/10/30, 79, 36, 21, 22, 4, 5, 67
2014/10/31, 92, 35, 16, 23, 7, 6, 68
2014/11/1, 84, 37, 23, 13, 7, 5, 88
2014/11/2, 120, 56, 19, 15, 6, 5, 89
2014/11/3, 119, 47, 26, 14, 4, 4, 75
2014/11/4, 104, 38, 22, 18, 2, 4, 69
2014/11/5, 99, 36, 14, 20, 1, 5, 65
2014/11/6, 80, 30, 10, 23, 7, 5, 51
2014/11/7, 64, 27, 15, 17, 12, 4, 56
2014/11/8, 64, 18, 11, 14, 9, 3, 36
2014/11/9, 37, 26, 14, 19, 8, 5, 64
2014/11/10, 72, 28, 6, 25, 5, 5, 61
2014/11/11, 72, 38, 17, 29, 9, 7, 68
2014/11/12, 96, 31, 19, 16, 9, 5, 50
2014/11/13, 51, 22, 19, 13, 5, 3, 36
2014/11/14, 36, 17, 12, 16, 4, 4, 34
2014/11/15, 28, 16, 6, 13, 6, 4, 36
2014/11/16, 29, 18, 13, 17, 5, 5, 44
2014/11/17, 48, 18, 1, 17, 4, 5, 43
2014/11/18, 44, 19, 16, 14, 3, 4, 42
2014/11/19, 44, 17, 8, 16, 3, 4, 37
2014/11/20, 42, 18, 6, 19, 2, 5, 45
2014/11/21, 39, 19, 11, 19, 4, 4, 51
2014/11/22, 45, 19, 12, 13, 3, 4, 42
2014/11/23, 39, 20, 7, 18, 6, 4, 49
2014/11/24, 51, 20, 10, 16, 5, 4, 43
2014/11/25, 51, 19, 15, 13, 4, 4, 47
2014/11/26, 43, 19, 9, 17, 8, 4, 47
2014/11/27, 49, 21, 10, 14, 10, 3, 46
2014/11/28, 45, 16, 7, 15, 10, 3, 32
2014/11/29, 33, 16, 13, 13, 15, 3, 46
2014/11/30, 43, 18, 7, 18, 17, 3, 43
2014/12/1, 41, 18, 9, 20, 20, 3, 50
2014/12/2, 46, 26, 17, 18, 22, 4, 56
2014/12/3, 68, 25, 14, 16, 17, 3, 51
2014/12/4, 53, 29, 26, 21, 27, 4, 64
2014/12/5, 78, 26, 13, 16, 23, 3, 44
2014/12/6, 38, 18, 19, 14, 8, 3, 37
2014/12/7, 31, 18, 10, 14, 9, 4, 42
2014/12/8, 46, 19, 15, 13, 3, 4, 47
2014/12/9, 46, 26, 17, 11, 2, 3, 
2014/12/10, 54, 26, 16, 8, 2, 3, 
2014/12/11, 49, 23, 18, 5, 2, 3, 
2014/12/12, 42, 19, 17, 3, 2, 3, 
2014/12/13, 38, 20, 16, 2, 2, 4, 
2014/12/14, 43, 18, 11, 3, 2, 3, 
2014/12/15, 34, 17, 9, 7, 2, 4, 
2014/12/16, 39, 18, 6, 5, 1, 5, 
2014/12/17, 35, 16, 11, 2, 1, 5, 
2014/12/18, 38, 13, 8, 2, 1, 4, 
2014/12/19, 25, 11, 15, 2, 2, 3, 
2014/12/20, 31, 13, 14, 2, 2, 2, 
2014/12/21, 31, 15, 12, 2, 2, 2, 
2014/12/22, 33, 16, 4, 5, 4, 2, 
2014/12/23, 42, 16, 9, 2, 6, 3, 
2014/12/24, 38, 17, 10, 3, 5, 3, 52
2014/12/25, 47, 19, 8, 3, 6, 3, 
2014/12/26, 36, 14, 11, 3, 4, 4, 
2014/12/27, 36, 14, 13, 2, 5, 4, 
2014/12/28, 27, , , , , , 
2014/7/1, 49, 22, 13, 14, 9, 3, 55
2014/7/2, 54, 27, 12, 15, 7, 4, 60
2014/7/3, 63, 27, 9, 16, 9, 3, 59
2014/7/4, 62, 26, 7, 15, 8, 3, 53
2014/7/5, 63, 25, 9, 13, 13, 2, 52
2014/7/6, 62, 21, 8, 14, 12, 2, 51
2014/7/7, 55, 21, 12, 14, 13, 3, 52
2014/7/8, 55, 22, 8, 13, 9, 3, 42
2014/7/9, 52, 16, 14, 11, 4, 2, 48
2014/7/10, 42, 24, 8, 14, 5, 3, 54
2014/7/11, 52, 24, 10, 17, 9, 3, 52
2014/7/12, 56, 20, 13, 11, 14, 2, 46
2014/7/13, 52, 19, 13, 12, 7, 2, 48
2014/7/14, 51, 29, 13, 12, 8, 2, 54
2014/7/15, 57, 28, 16, 12, 5, 2, 54
2014/7/16, 55, 29, 9, 14, 7, 3, 57
2014/7/17, 58, 24, 13, 14, 8, 2, 55
2014/7/18, 57, 24, 11, 12, 6, , 52
2014/7/19, 55, 21, 13, 13, 8, 3, 51
2014/7/20, 53, 19, 13, 10, 5, , 47
2014/7/21, 48, 20, 11, 10, 4, , 44
2014/7/22, 46, 22, 13, 11, 4, , 53
2014/7/23, 50, 27, 15, 11, 3, , 56
2014/7/24, 57, 32, 16, 11, 3, , 59
2014/7/25, 61, 31, 15, 10, 1, 3, 56
2014/7/26, 60, 26, 13, 10, 2, 3, 51
2014/7/27, 52, 21, 13, 7, 3, 3, 52
2014/7/28, 51, 21, 8, 10, 3, 3, 48
2014/7/29, 51, 23, 6, 13, 4, 4, 55
2014/7/30, 56, 23, 6, 11, 7, 3, 42
2014/7/31, 53, 15, 10, 10, 7, 3, 42
2014/8/1, 36, 20, 13, 11, 6, 3, 53
2014/8/2, 49, 25, 17, 11, 6, , 56
2014/8/3, 59, 23, 13, 12, 8, , 56
2014/8/4, 57, 23, 8, 11, 6, , 43
2014/8/5, 54, 17, 6, 13, 10, 2, 46
2014/8/6, 44, 17, 8, 11, 10, 2, 37
2014/8/7, 42, 14, 6, 12, 9, , 41
2014/8/8, 36, 16, 13, 8, 5, 2, 31
2014/8/9, 37, 13, 11, 8, 4, 2, 30
2014/8/10, 23, 12, 7, 10, 7, 2, 36
2014/8/11, 37, 18, 5, 12, 9, , 43
2014/8/12, 42, 19, 3, 14, 13, 4, 49
2014/8/13, 49, 19, 6, 13, 10, 3, 47
2014/8/14, 50, 19, 3, 15, 7, 3, 46
2014/8/15, 47, 25, 14, 12, 7, 3, 60
2014/8/16, 59, 25, 8, 15, 6, 3, 55
2014/8/17, 58, 26, 21, 9, 5, 3, 55
2014/8/18, 55, 28, 18, 11, 5, 3, 55
2014/8/19, 59, 23, 18, 16, 8, 4, 60
2014/8/20, 58, 27, 17, 15, 8, 4, 60
2014/8/21, 62, 27, 11, 10, 10, 3, 54
2014/8/22, 62, 18, 12, 6, 5, 2, 43
2014/8/23, 45, 21, 6, 11, 8, 5, 55
2014/8/24, 54, 25, 7, 11, 8, 5, 59
2014/8/25, 63, 30, 9, 12, 9, 5, 60
2014/8/26, 67, 25, 11, 13, 16, 3, 51
2014/8/27, 59, 20, 5, 17, 19, 3, 47
2014/8/28, 55, 21, 13, 17, 12, 4, 54
2014/8/29, 54, 24, 17, 16, 9, 4, 56
2014/8/30, 59, 22, 16, 11, 8, 3, 54
2014/8/31, 54, 27, 28, 10, 7, 3, 61
2014/9/1, 63, 30, 20, 13, 8, 3, 61
2014/9/2, 67, 33, 14, 17, 9, 5, 62
2014/9/3, 75, 36, 22, 18, 13, 7, 71
2014/9/4, 81, 35, 16, 17, 12, 4, 62
2014/9/5, 80, 25, 14, 10, 14, 3, 40
2014/9/6, 58, 20, 20, 15, 11, 3, 52
2014/9/7, 43, 30, 21, 14, 8, 4, 64
2014/9/8, 68, 31, 20, 15, 5, 4, 62
2014/9/9, 72, 32, 18, 15, 6, 4, 61
2014/9/10, 73, 35, 20, 15, 5, 4, 61
2014/9/11, 72, 32, 17, 19, 3, 6, 65
2014/9/12, 74, 34, 15, 16, 1, 6, 66
2014/9/13, 75, 34, 17, 15, 1, 7, 67
2014/9/14, 75, 44, 10, 21, 2, 7, 90
2014/9/15, 100, 40, 25, 13, 1, 6, 62
2014/9/16, 84, 35, 21, 13, 1, 5, 67
2014/9/17, 67, 54, 27, 12, 1, 5, 97
2014/9/18, 126, 59, 17, 14, 2, 5, 89
2014/9/19, 147, 38, 10, 13, 2, 4, 56
2014/9/20, 85, 23, 17, 14, 3, 5, 62
2014/9/21, 58, 47, 23, 13, 2, 5, 77
2014/9/22, 102, 34, 23, 10, 1, 3, 61
2014/9/23, 71, 38, 22, 11, 2, 4, 69
2014/9/24, 80, 28, 13, 15, 1, 4, 49
2014/9/25, 64, 26, 29, 17, 2, 3, 66
2014/9/26, 62, 32, 28, 10, 2, 2, 66
2014/9/27, 76, 35, 31, 9, 2, 2, 73
2014/9/28, 81, 39, 28, 9, 3, 3, 70
2014/9/29, 85, 39, 22, 11, 3, 4, 73
2014/9/30, 89, 44, 24, 12, 5, 4, 74
2014/4/1, 59, 24, 16, 12, 6, 3, 
2014/4/2, 55, 22, 12, 9, 7, 2, 
2014/4/3, 54, 25, 10, 18, 5, 4, 
2014/4/4, 61, 28, 4, 16, 7, 4, 
2014/4/5, 68, 21, 17, 9, 4, 3, 
2014/4/6, 57, 20, 16, 12, 1, 3, 
2014/4/7, 44, 24, 14, 14, 4, 3, 
2014/4/8, 58, 26, 18, 16, 6, 3, 
2014/4/9, 59, 24, 11, 15, 4, 3, 
2014/4/10, 56, 26, 14, 20, 4, 5, 
2014/4/11, 60, 28, 12, 15, 5, 4, 55
2014/4/12, 62, 24, 20, 12, 2, 4, 57
2014/4/13, 60, 25, 10, 12, 5, 4, 55
2014/4/14, 60, 28, 14, 27, 3, 4, 
2014/4/15, 68, 37, 12, 17, 8, 2, 
2014/4/16, 80, 33, 15, 25, 12, 3, 
2014/4/17, 72, 39, 13, 27, 13, 4, 
2014/4/18, 80, 21, 11, 14, 7, 4, 
2014/4/19, 55, 31, 11, 11, 17, 4, 
2014/4/20, 70, 20, 3, 30, 11, 5, 
2014/4/21, 50, 30, 2, 25, 10, 6, 
2014/4/22, 70, 31, 7, 30, 15, 5, 
2014/4/23, 70, 30, 7, 24, 5, 4, 
2014/4/24, 70, 22, 11, 22, 4, 4, 
2014/4/25, 55, 34, 24, 26, 8, 4, 
2014/4/26, 72, 33, 9, 23, 6, 4, 
2014/4/27, 76, 21, 14, 25, 8, 4, 
2014/4/28, 53, 30, 9, 24, 16, 4, 
2014/4/29, 72, 31, 6, 32, 14, 4, 
2014/4/30, 72, 34, 7, 16, 8, 3, 
2014/5/1, 74, 20, 7, 25, 14, 3, 
2014/5/2, 50, 19, 9, 17, 6, 3, 
2014/5/3, 53, 17, 5, 14, 4, 3, 
2014/5/4, 38, 20, 12, 9, 5, 3, 
2014/5/5, 46, 20, 3, 13, 3, 3, 
2014/5/6, 53, 22, 13, 20, 3, 4, 50
2014/5/7, 53, 20, 19, 23, 6, 4, 46
2014/5/8, 47, 31, 18, 25, 12, 7, 66
2014/5/9, 70, 24, 18, 12, 7, 3, 45
2014/5/10, 56, 23, 22, 17, 4, 7, 56
2014/5/11, 50, 24, 13, 19, 3, 7, 56
2014/5/12, 58, 27, 31, 18, 7, 7, 61
2014/5/13, 62, 26, 20, 17, 12, 5, 55
2014/5/14, 61, 21, 23, 15, 10, 5, 52
2014/5/15, 52, 19, 15, 15, 8, 4, 46
2014/5/16, 50, 20, 19, 15, 7, 3, 44
2014/5/17, 47, 17, 13, 15, 7, 3, 37
2014/5/18, 38, 16, 11, 14, 6, 3, 48
2014/5/19, 42, 16, 16, 16, 6, 3, 43
2014/5/20, 39, 26, 19, 23, 8, 5, 62
2014/5/21, 62, 30, 15, 19, 9, 4, 55
2014/5/22, 68, 16, 10, 15, 6, 2, 38
2014/5/23, 42, 23, 15, 15, 5, 4, 52
2014/5/24, 54, 18, 11, 11, 5, 2, 40
2014/5/25, 46, 14, 8, 13, 3, 2, 42
2014/5/26, 32, 28, 6, 19, 7, 5, 59
2014/5/27, 62, 21, 15, 10, 10, 3, 36
2014/5/28, 51, 22, 11, 20, 7, 4, 57
2014/5/29, 51, 25, 11, 17, 12, 3, 57
2014/5/30, 59, 21, 11, 14, 15, 2, 43
2014/5/31, 50, 15, 9, 11, 6, 2, 32
2014/6/1, 33, 17, 8, 14, 4, 3, 51
2014/6/2, 42, 20, 13, 11, 5, 3, 48
2014/6/3, 49, 20, 6, 12, 4, 7, 45
2014/6/4, 47, 18, 5, 13, 6, 3, 48
2014/6/5, 42, 18, 5, 12, 7, 3, 41
2014/6/6, 45, 21, 11, 12, 6, 5, 49
2014/6/7, 56, 17, 11, 9, 4, 4, 39
2014/6/8, 42, 21, 13, 13, 4, 4, 46
2014/6/9, 47, 21, 10, 11, 4, 4, 56
2014/6/10, 51, 19, 11, 13, 3, 3, 48
2014/6/11, 46, 19, 12, 12, 2, 3, 46
2014/6/12, 40, 22, 13, 14, 5, 3, 52
2014/6/13, 53, 21, 5, 17, 6, 3, 44
2014/6/14, 50, 18, 13, 13, 9, 3, 42
2014/6/15, 46, 20, 13, 12, 4, 3, 51
2014/6/16, 51, 19, 13, 11, 1, 5, 44
2014/6/17, 45, 20, 13, 14, 2, 4, 44
2014/6/18, 46, 20, 10, 15, 3, 4, 46
2014/6/19, 51, 20, 11, 11, 2, 4, 49
2014/6/20, 48, 21, 15, 11, 3, 2, 50
2014/6/21, 50, 28, 19, 13, 7, 4, 59
2014/6/22, 59, 30, 18, 15, 10, 4, 58
2014/6/23, 63, 32, 16, 16, 13, 2, 61
2014/6/24, 66, 26, 11, 12, 12, 3, 43
2014/6/25, 55, 19, 14, 11, 11, 3, 47
2014/6/26, 46, 22, 7, 13, 17, 4, 49
2014/6/27, 52, 22, 11, 14, 17, 4, 55
2014/6/28, 57, 21, 13, 13, 13, 4, 44
2014/6/29, 50, 22, 12, 14, 12, 5, 50
2014/6/30, 54, 20, 12, 14, 14, 4, 48
2014/1/1, 62, 30, 14, 8, 2, , 35
2014/1/2, 64, 29, 11, 10, 2, , 30
2014/1/3, 61, 20, 11, 8, 2, 5, 24
2014/1/4, 55, 16, 6, 7, 3, 4, 13
2014/1/5, 45, 13, 2, 10, 3, 5, 20
2014/1/6, 36, 28, 10, 11, 3, 5, 34
2014/1/7, 65, 29, 11, 9, 4, 4, 28
2014/1/8, 64, 18, 5, 10, 3, 5, 19
2014/1/9, 48, 18, 10, 15, 5, 5, 24
2014/1/10, 49, 18, 12, 9, 7, 4, 16
2014/1/11, 46, 17, 8, 9, 3, 4, 20
2014/1/12, 40, 22, 13, 9, 3, 4, 27
2014/1/13, 48, 30, 12, 10, 3, , 33
2014/1/14, 54, 32, 13, 10, 3, 5, 36
2014/1/15, 59, 35, 18, 10, 3, 6, 37
2014/1/16, 67, 31, 18, 11, 2, 4, 31
2014/1/17, 63, 27, 14, 9, 2, 3, 28
2014/1/18, 50, 27, 16, 6, 1, , 29
2014/1/19, 44, 27, 15, 8, 1, , 30
2014/1/20, 50, 27, 18, 10, 2, 4, 34
2014/1/21, 54, 32, 18, 11, 2, , 33
2014/1/22, 62, 36, 22, 11, 2, 5, 45
2014/1/23, 72, 44, 20, 11, 3, , 47
2014/1/24, 80, 41, 20, 7, 3, 4, 42
2014/1/25, 77, 38, 25, 8, 3, 5, 38
2014/1/26, 75, 33, 19, 7, 3, 4, 31
2014/1/27, 67, 29, 15, 6, 3, 3, 32
2014/1/28, 61, 28, 16, 6, 2, 3, 26
2014/1/29, 54, 23, 18, 7, 1, , 24
2014/1/30, 47, 24, 20, 5, 1, 4, 26
2014/1/31, 53, 24, 20, 9, 1, 4, 24
2014/2/1, 53, 21, 18, 11, 2, 4, 23
2014/2/2, 48, 20, 20, 9, 2, 8, 21
2014/2/3, 48, 24, 24, 10, 3, 4, 30
2014/2/4, 55, 30, 24, 8, 3, 4, 32
2014/2/5, 63, 25, 18, 10, 3, 3, 24
2014/2/6, 51, 22, 18, 10, 3, 4, 25
2014/2/7, 50, 30, 20, 10, 3, 5, 39
2014/2/8, 69, 31, 24, 10, 4, 5, 30
2014/2/9, 68, 30, 20, 13, 6, 5, 31
2014/2/10, 64, 27, 17, 10, 5, 4, 29
2014/2/11, 57, 27, 16, 7, 1, 3, 29
2014/2/12, 55, 30, 14, 8, 2, , 34
2014/2/13, 60, 30, 15, 8, 2, 4, 31
2014/2/14, 59, 30, 18, 7, 3, 4, 35
2014/2/15, 60, 32, 18, 7, 3, , 31
2014/2/16, 65, 31, 15, 7, 3, 4, 34
2014/2/17, 62, 35, 15, 8, 1, 4, 34
2014/2/18, 68, 31, 15, 7, 1, 4, 32
2014/2/19, 61, 25, 16, 6, , 3, 26
2014/2/20, 55, 27, 9, 6, 1, , 30
2014/2/21, 54, 29, 14, 6, 1, 4, 33
2014/2/22, 56, 29, 17, 7, 1, 4, 32
2014/2/23, 60, 32, 20, 7, 2, 5, 35
2014/2/24, 61, 32, 19, 10, 1, 4, 35
2014/2/25, 63, 32, 16, 7, 1, 4, 32
2014/2/26, 63, 29, 14, 6, 2, , 30
2014/2/27, 59, 31, 14, 6, 2, 7, 33
2014/2/28, 62, 29, 15, 5, 2, 5, 32
2014/3/1, 60, 27, 17, 7, 2, 5, 28
2014/3/2, 55, 27, 17, 9, 4, 5, 31
2014/3/3, 56, 36, 23, 10, 3, 5, 46
2014/3/4, 72, 33, 18, 9, 1, 4, 29
2014/3/5, 66, 26, 17, 7, 1, 4, 31
2014/3/6, 55, 34, 21, 8, 3, 5, 44
2014/3/7, 75, 46, 26, 7, 2, 5, 46
2014/3/8, 99, 46, 24, 7, 2, 5, 40
2014/3/9, 101, 37, 23, 6, 1, 5, 44
2014/3/10, 81, 42, 21, 8, 2, 5, 46
2014/3/11, 90, 59, 21, 7, 2, 6, 58
2014/3/12, 142, 50, 26, 8, 2, 6, 56
2014/3/13, 107, 58, 22, 8, 2, 8, 56
2014/3/14, 141, 49, 12, 6, 2, 6, 38
2014/3/15, 110, 27, 7, 8, 2, 5, 24
2014/3/16, 67, 17, 5, 9, 2, 5, 19
2014/3/17, 46, 20, 8, 9, 2, 5, 26
2014/3/18, 52, 28, 12, 13, 2, 5, 31
2014/3/19, 59, 27, 12, 12, 2, 5, 33
2014/3/20, 60, 27, 15, 13, 2, 6, 33
2014/3/21, 62, 33, 17, 7, 3, 4, 39
2014/3/22, 73, 31, 17, 5, 1, 4, 28
2014/3/23, 70, 26, 14, 7, 1, 4, 32
2014/3/24, 59, 33, 13, 9, 1, 4, 35
2014/3/25, 67, 35, 10, 8, 1, 4, 35
2014/3/26, 67, 30, 10, 10, 2, 4, 35
2014/3/27, 60, 40, 12, 8, 3, 5, 38
2014/3/28, 85, 22, 10, 12, 3, 3, 25
2014/3/29, 56, 26, 12, 12, 3, 5, 31
2014/3/30, 59, 22, 12, 9, 5, 3, 23
2014/3/31, 56, 26, 11, 13, 4, 4, 
2019/12/31, , 24, 17, , 1, 3, 
2018/12/31, , 20, 27, , 2, 6, 
2018/3/31, , 54, 31, , 5, 8, 
2017/9/10, , 27, 16, 12, 8, 6, 
2016/1/3, , 20, 14, 9, 1, 3, 38
2015/7/1, , 33, 14, 3, 11, 4, 70
2015/7/2, , 34, 14, 3, 5, 3, 65
2015/7/3, , 32, 16, 9, 6, 3, 56
2015/7/4, , 29, 24, 8, 7, 3, 66
2015/7/5, , 29, 24, 8, 7, , 66
2015/7/6, , 31, 22, 5, 5, 3, 61
2015/7/7, , 31, 20, 5, 4, 3, 62
2015/7/8, , 32, 16, 14, 5, 4, 64
2015/7/9, , 36, 22, 37, 14, 5, 69
2015/7/10, , 40, 13, 20, 13, 5, 70
2015/7/11, , 31, 13, 25, 9, 4, 56
2015/7/12, , 28, 15, 21, 7, 4, 52
2015/7/13, , 22, 11, 12, 5, 3, 51
2015/6/21, , 21, 13, 2, 4, 3, 
2015/6/22, , 25, 15, 2, 3, , 
2015/6/23, , 28, 15, 2, 4, 4, 
2015/6/24, , 30, 20, 2, 4, 4, 60
2015/6/25, , 26, 19, 2, 5, 3, 57
2015/6/26, , 22, 15, 2, 4, , 46
2015/6/27, , 20, 12, 2, 3, , 42
2015/6/28, , 21, 16, 2, 6, 4, 56
2015/6/29, , 25, 17, 3, 7, 4, 60
2015/6/30, , 29, 12, 4, 9, , 58
2014/12/31, , 25, 18, 9, 3, 3, 
2013/12/31, , 27, 14, 10, 1, 4, 29